ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
tonk1249-null-marker,tonk1249,indexing marker,NULL_MARKER,zero,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,3sg,3sg,2sg;3sg,neutral
tonk1249-we-nsgp-indexing-marker,tonk1249,indexing marker,we- nsgP,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,NONE,NONE,1du;1pl;2du;2pl;3du;3pl,accusative
tonk1249-wes-a-1-2pls-a-indexing-marker,tonk1249,indexing marker,-wesʔa 1/2plS/A,overt,person+number,"wier2016tonkawa[16-18,24,36]",HT;AWM,1pl;2pl,1pl;2pl,NONE,accusative
toto1305-im-1incl-indexing-marker,toto1305,indexing marker,-ïm 1incl,overt,person+number,guzman2012totontepecmixe[104-105],DI,1pl.incl,1pl.incl,1pl.incl,neutral
toto1305-m-2-indexing-marker,toto1305,indexing marker,m= 2,overt,person,"guzman2012totontepecmixe[102-103,35-37,53-59,61-66]",DI,2pl;2sg,2pl_3pl-high;2pl_3pl-low;2pl_3sg-high;2pl_3sg-low;2sg_3pl-high;2sg_3pl-low;2sg_3sg-high;2sg_3sg-low,2pl_3pl-high;2pl_3pl-low;2pl_3sg-high;2pl_3sg-low;2sg_3pl-high;2sg_3pl-low;2sg_3sg-high;2sg_3sg-low,neutral
toto1305-n-1-indexing-marker,toto1305,indexing marker,n= 1,overt,person,"guzman2012totontepecmixe[102-103,35-37,53-59,61-66]",DI,NONE,1pl.excl;1pl.incl;1sg,NONE,ergative
toto1305-no-flagging,toto1305,flagging,NO_FLAGGING,zero,,"guzman2012totontepecmixe[112-113,72];suslak2003totontepecmixe[49]",DI,1.exclPro;1.inclPro;2Pro;Noun,1.exclPro;1.inclPro;2Pro;Noun,1.exclPro;1.inclPro;2Pro;Noun,neutral
toto1305-null-marker,toto1305,indexing marker,NULL_MARKER,zero,person,"guzman2012totontepecmixe[102-103,35-37,53-59,61-66]",DI,1pl.excl;1pl.incl;1sg;3pl-high;3pl-low;3sg-high;3sg-low,NONE,NONE,horizontal
toto1305-ta-pl-indexing-marker,toto1305,indexing marker,-tä pl,overt,number,guzman2012totontepecmixe[105-107],DI,1pl.incl;2pl;3pl-high;3pl-low,1pl.incl;2pl_3pl-high;2pl_3pl-low;2pl_3sg-high;2pl_3sg-low;3pl-high_3pl-low;3pl-high_3sg-low;3sg-high_3pl-low,1pl.incl;2pl_3pl-high;2pl_3pl-low;2pl_3sg-high;2pl_3sg-low,neutral
toto1305-x-1-indexing-marker,toto1305,indexing marker,x= 1,overt,person,"guzman2012totontepecmixe[102-103,35-37,53-59,61-66]",DI,NONE,NONE,1pl.excl;1pl.incl;1sg,accusative
toto1305-y-3-indexing-marker,toto1305,indexing marker,y= 3,overt,person,"guzman2012totontepecmixe[102-103,35-37,53-59,61-66]",DI,NONE,3pl-high_3pl-low;3pl-high_3sg-low;3sg-high_3pl-low;3sg-high_3sg-low,NONE,ergative
trin1274-no-flagging,trin1274,flagging,NO_FLAGGING,zero,,"rose2015sketch[71,90]",DI,any,any,any,neutral
